Size,Sample_ID,Jar,Colour,Treatment,Snailw_g,wetw_1_g,wetw_2_g,Weight_diff,Length_1_cm,Length_2_cm,Length_diff,Area_1_cm_2,Area_2_cm_2,Area_diff,n_days,length_growth_cm_day
Small,S1_1,S1,red,Snail,55.1,0.023,0.026,0.003,1.68,1.72,0.04,0.51,0.55,0.04,12,0.003333333
Small,S1_2,S1,green,Snail,,0.035,0.059,0.024,2.69,3.12,0.43,1.03,1.41,0.38,12,0.035833333
Small,S1_3,S1,lightblue,Snail,,0.033,0.048,0.015,2.01,2.44,0.43,0.78,1.06,0.28,12,0.035833333
Small,S1_4,S1,darkblue,Snail,,0.023,0.031,0.008,2.52,2.73,0.21,0.68,0.8,0.12,12,0.0175
Small,S1_5,S1,brown,Snail,,0.014,0.025,0.011,1.68,2.08,0.4,0.41,0.61,0.2,12,0.033333333
Small,S1_6,S1,yellow,Snail,,0.003,0.004,0.001,0.65,0.84,0.19,0.07,0.12,0.05,12,0.015833333
Small,S1_7,S1,pink,Snail,,0.02,0.029,0.009,2.41,2.67,0.26,0.48,0.59,0.11,12,0.021666667
Small,S1_8,S1,orange,Snail,,0.024,0.035,0.011,2.29,2.64,0.35,0.66,0.9,0.24,12,0.029166667
Small,S1_9,S1,purple,Snail,,0.004,0.007,0.003,0.89,1.11,0.22,0.13,0.18,0.05,12,0.018333333
Small,S2_1,S2,red,Snail,55.86,0.032,0.048,0.016,2.1,2.55,0.45,0.77,1.11,0.34,12,0.0375
Small,S2_2,S2,green,Snail,,0.015,0.022,0.007,1.41,1.62,0.21,0.37,0.48,0.11,12,0.0175
Small,S2_3,S2,lightblue,Snail,,0.02,0.018,-0.002,1.59,1.57,-0.02,0.42,0.39,-0.03,12,-0.001666667
Small,S2_4,S2,darkblue,Snail,,0.02,0.027,0.007,2,2.2,0.2,0.21,0.6,0.39,12,0.016666667
Small,S2_5,S2,brown,Snail,,0.019,0.022,0.003,2.1,2.12,0.02,0.48,0.52,0.04,12,0.001666667
Small,S2_6,S2,yellow,Snail,,0.012,0.019,0.007,1.33,1.62,0.29,0.32,0.44,0.12,12,0.024166667
Small,S2_7,S2,pink,Snail,,0.003,0.004,0.001,0.72,0.81,0.09,0.11,0.12,0.01,12,0.0075
Small,S2_8,S2,orange,Snail,,0.008,0.012,0.004,1.08,1.28,0.2,0.21,0.28,0.07,12,0.016666667
Small,S2_9,S2,purple,Snail,,0.004,0.004,0,0.89,1.01,0.12,0.11,0.14,0.03,12,0.01
Small,S3_1,S3,red,Snail,55.31,0.019,0.029,0.01,1.42,1.92,0.5,0.48,0.74,0.26,12,0.041666667
Small,S3_2,S3,green,Snail,,0.014,0.018,0.004,1.66,1.89,0.23,0.45,0.54,0.09,12,0.019166667
Small,S3_3,S3,lightblue,Snail,,0.02,0.026,0.006,1.42,1.73,0.31,0.48,0.62,0.14,12,0.025833333
Small,S3_4,S3,darkblue,Snail,,0.021,0.028,0.007,1.9,2.09,0.19,0.51,0.61,0.1,12,0.015833333
Small,S3_5,S3,brown,Snail,,0.02,0.024,0.004,2.16,2.12,-0.04,0.62,0.69,0.07,12,-0.003333333
Small,S3_6,S3,yellow,Snail,,0.018,0.023,0.005,1.87,1.98,0.11,0.36,0.5,0.14,12,0.009166667
Small,S3_7,S3,pink,Snail,,0.049,0.072,0.023,2.96,3.49,0.53,1.12,1.61,0.49,12,0.044166667
Small,S3_8,S3,orange,Snail,,0.006,0.011,0.005,1.17,1.43,0.26,0.17,0.26,0.09,12,0.021666667
Small,S3_9,S3,purple,Snail,,0.02,0.028,0.008,2.31,2.59,0.28,0.64,0.75,0.11,12,0.023333333
Small,S4_1,S4,red,No_snail,,0.029,0.042,0.013,2.5,2.99,0.49,0.73,0.96,0.23,12,0.040833333
Small,S4_2,S4,green,No_snail,,0.044,0.064,0.02,2.24,2.61,0.37,0.97,1.25,0.28,12,0.030833333
Small,S4_3,S4,lightblue,No_snail,,0.012,0.02,0.008,2.06,2.36,0.3,0.39,0.5,0.11,12,0.025
Small,S4_4,S4,darkblue,No_snail,,0.007,0.009,0.002,1.09,1.24,0.15,0.16,0.21,0.05,12,0.0125
Small,S4_5,S4,brown,No_snail,,0.017,0.032,0.015,1.4,1.94,0.54,0.51,0.83,0.32,12,0.045
Small,S4_6,S4,yellow,No_snail,,0.007,0.011,0.103,1.17,1.4,0.23,0.2,0.24,0.04,12,0.019166667
Small,S4_7,S4,pink,No_snail,,0.014,0.018,0.004,1.6,1.9,0.3,0.32,0.46,0.14,12,0.025
Small,S4_8,S4,orange,No_snail,,0.03,0.039,0.009,1.95,2.27,0.32,0.59,0.79,0.2,12,0.026666667
Small,S4_9,S4,purple,No_snail,,0.042,0.047,0.005,2.71,2.82,0.11,1.19,1.21,0.02,12,0.009166667
Small,S5_1,S5,red,No_snail,,0.045,0.074,0.029,2.19,2.77,0.58,1.05,1.62,0.57,12,0.048333333
Small,S5_2,S5,green,No_snail,,0.031,0.047,0.016,2.21,2.65,0.44,0.83,1.16,0.33,12,0.036666667
Small,S5_3,S5,lightblue,No_snail,,0.037,0.049,0.012,2.73,3.32,0.59,0.85,1.17,0.32,12,0.049166667
Small,S5_4,S5,darkblue,No_snail,,0.023,0.034,0.011,2.06,2.28,0.22,0.59,0.75,0.16,12,0.018333333
Small,S5_5,S5,brown,No_snail,,0.017,0.022,0.005,2.11,2.43,0.32,0.56,0.64,0.08,12,0.026666667
Small,S5_6,S5,yellow,No_snail,,0.02,0.029,0.009,2.6,2.71,0.11,0.6,0.7,0.1,12,0.009166667
Small,S5_7,S5,pink,No_snail,,0.003,0.007,0.004,0.86,1.19,0.33,0.11,0.2,0.09,12,0.0275
Small,S5_8,S5,orange,No_snail,,0.002,0.006,0.004,0.75,0.97,0.22,0.09,0.14,0.05,12,0.018333333
Small,S5_9,S5,purple,No_snail,,0.016,0.027,0.011,2.66,3.1,0.44,0.4,0.6,0.2,12,0.036666667
Small,S6_1,S6,red,No_snail,,0.028,0.052,0.024,2.44,2.79,0.35,0.97,1.29,0.32,12,0.029166667
Small,S6_2,S6,green,No_snail,,0.024,0.039,0.015,1.65,1.97,0.32,0.61,0.83,0.22,12,0.026666667
Small,S6_3,S6,lightblue,No_snail,,0.003,0.006,0.003,0.88,1.17,0.29,0.1,0.2,0.1,12,0.024166667
Small,S6_4,S6,darkblue,No_snail,,0.009,0.022,0.013,1.27,1.76,0.49,0.31,0.58,0.27,12,0.040833333
Small,S6_5,S6,brown,No_snail,,0.004,0.01,0.006,0.94,1.23,0.29,0.16,0.28,0.12,12,0.024166667
Small,S6_6,S6,yellow,No_snail,,0.02,0.033,0.013,1.43,1.87,0.44,0.48,0.74,0.26,12,0.036666667
Small,S6_7,S6,pink,No_snail,,0.008,0.01,0.002,1.02,1.19,0.17,0.21,0.28,0.07,12,0.014166667
Small,S6_8,S6,orange,No_snail,,0.005,0.014,0.009,1.11,1.61,0.5,0.16,0.36,0.2,12,0.041666667
Small,S6_9,S6,purple,No_snail,,0.052,0.078,0.026,2.52,2.96,0.44,1.26,1.65,0.39,12,0.036666667
Big,B1_1,B1,red,Snail,55.7,0.075,0.098,0.023,4.88,5.19,0.31,1.91,2.18,0.27,12,0.025833333
Big,B1_2,B1,green,Snail,,0.047,0.076,0.029,3.3,3.94,0.64,1.08,1.61,0.53,12,0.053333333
Big,B1_3,B1,lightblue,Snail,,0.042,0.072,0.03,2.61,3.26,0.65,1.23,1.81,0.58,12,0.054166667
Big,B1_4,B1,darkblue,Snail,,0.102,0.133,0.031,4.93,5.46,0.53,3.06,3.62,0.56,12,0.044166667
Big,B1_5,B1,brown,Snail,,0.059,0.08,0.021,3.1,3.37,0.27,1.86,2.12,0.26,12,0.0225
Big,B1_6,B1,yellow,Snail,,0.078,0.115,0.037,4.23,4.79,0.56,2.05,2.72,0.67,12,0.046666667
Big,B1_7,B1,pink,Snail,,0.042,0.068,0.026,3.16,3.75,0.59,1.2,1.69,0.49,12,0.049166667
Big,B1_8,B1,orange,Snail,,0.043,0.066,0.023,3.45,4.01,0.56,0.95,1.36,0.41,12,0.046666667
Big,B1_9,B1,purple,Snail,,0.075,0.105,0.03,3.12,3.53,0.41,2,2.63,0.63,12,0.034166667
Big,B2_1,B2,red,Snail,55.09,0.073,0.101,0.028,3.65,3.99,0.34,1.68,2.07,0.39,12,0.028333333
Big,B2_2,B2,green,Snail,,0.044,0.061,0.017,3.25,3.73,0.48,1.26,1.56,0.3,12,0.04
Big,B2_3,B2,lightblue,Snail,,0.049,0.07,0.021,3.88,4.35,0.47,1.55,1.85,0.3,12,0.039166667
Big,B2_4,B2,darkblue,Snail,,0.055,0.095,0.04,3.43,4.03,0.6,1.55,2.2,0.65,12,0.05
Big,B2_5,B2,brown,Snail,,0.061,0.114,0.053,3.19,3.9,0.71,1.5,2.46,0.96,12,0.059166667
Big,B2_6,B2,yellow,Snail,,0.095,0.142,0.047,4.03,4.54,0.51,2.33,2.97,0.64,12,0.0425
Big,B2_7,B2,pink,Snail,,0.051,0.06,0.009,3.04,3.22,0.18,0.9,1.02,0.12,12,0.015
Big,B2_8,B2,orange,Snail,,0.061,0.091,0.03,3.11,3.43,0.32,1.36,1.8,0.44,12,0.026666667
Big,B2_9,B2,purple,Snail,,0.12,0.173,0.053,3.25,3.94,0.69,2.81,3.68,0.87,12,0.0575
Big,B3_1,B3,red,Snail,55.19,0.057,0.078,0.021,4.42,4.76,0.34,1.31,1.44,0.13,12,0.028333333
Big,B3_2,B3,green,Snail,,0.077,0.095,0.018,4.96,5.09,0.13,2.02,2.2,0.18,12,0.010833333
Big,B3_3,B3,lightblue,Snail,,0.119,0.187,0.068,4.03,4.72,0.69,2.64,3.81,1.17,12,0.0575
Big,B3_4,B3,darkblue,Snail,,0.093,0.146,0.053,4.7,5.34,0.64,2.16,3.22,1.06,12,0.053333333
Big,B3_5,B3,brown,Snail,,0.045,0.072,0.027,3.19,4.02,0.83,1.15,1.69,0.54,12,0.069166667
Big,B3_6,B3,yellow,Snail,,0.039,0.051,0.012,2.99,3.1,0.11,0.91,0.97,0.06,12,0.009166667
Big,B3_7,B3,pink,Snail,,0.033,0.053,0.02,3.21,3.76,0.55,0.85,1.18,0.33,12,0.045833333
Big,B3_8,B3,orange,Snail,,0.07,0.097,0.027,3.35,3.7,0.35,1.54,1.91,0.37,12,0.029166667
Big,B3_9,B3,purple,Snail,,0.047,0.071,0.024,3.61,4.12,0.51,1.14,1.46,0.32,12,0.0425
Big,B4_1,B4,red,No_snail,,0.038,0.056,0.018,3.11,3.65,0.54,0.78,1.09,0.31,12,0.045
Big,B4_2,B4,green,No_snail,,0.065,0.097,0.032,3.36,4.01,0.65,1.53,2.1,0.57,12,0.054166667
Big,B4_3,B4,lightblue,No_snail,,0.09,0.134,0.044,3.91,4.6,0.69,1.94,2.59,0.65,12,0.0575
Big,B4_4,B4,darkblue,No_snail,,0.057,0.086,0.029,3.18,3.41,0.23,1.24,1.63,0.39,12,0.019166667
Big,B4_5,B4,brown,No_snail,,0.058,0.099,0.041,3.14,3.64,0.5,1.32,1.91,0.59,12,0.041666667
Big,B4_6,B4,yellow,No_snail,,0.095,0.145,0.05,3.68,4.12,0.44,2.19,2.91,0.72,12,0.036666667
Big,B4_7,B4,pink,No_snail,,0.085,0.112,0.027,4.69,5.2,0.51,2.06,2.5,0.44,12,0.0425
Big,B4_8,B4,orange,No_snail,,0.221,0.253,0.032,3.65,3.94,0.29,3.88,4.5,0.62,12,0.024166667
Big,B4_9,B4,purple,No_snail,,0.061,0.082,0.021,3.36,3.89,0.53,1.59,2.03,0.44,12,0.044166667
Big,B5_1,B5,red,No_snail,,0.089,0.137,0.048,4.92,5.59,0.67,2.44,3.36,0.92,12,0.055833333
Big,B5_2,B5,green,No_snail,,0.083,0.166,0.083,3.72,4.48,0.76,2.03,3.56,1.53,12,0.063333333
Big,B5_3,B5,lightblue,No_snail,,0.075,0.124,0.049,4.42,5.29,0.87,1.91,2.79,0.88,12,0.0725
Big,B5_4,B5,darkblue,No_snail,,0.056,0.046,-0.01,4.1,3.95,-0.15,1.06,0.84,-0.22,12,-0.0125
Big,B5_5,B5,brown,No_snail,,0.085,0.123,0.038,3.48,3.88,0.4,1.72,2.3,0.58,12,0.033333333
Big,B5_6,B5,yellow,No_snail,,0.015,0.044,0.029,2.76,3.42,0.66,0.58,2.07,1.49,12,0.055
Big,B5_7,B5,pink,No_snail,,0.084,0.132,0.048,3.66,4.26,0.6,1.73,2.46,0.73,12,0.05
Big,B5_8,B5,orange,No_snail,,0.235,0.32,0.085,4.56,5,0.44,4.71,5.87,1.16,12,0.036666667
Big,B5_9,B5,purple,No_snail,,0.083,0.105,0.022,3.71,3.9,0.19,1.99,2.27,0.28,12,0.015833333
Big,B6_1,B6,red,No_snail,,0.079,0.131,0.052,4.57,5.08,0.51,2.28,2.96,0.68,12,0.0425
Big,B6_2,B6,green,No_snail,,0.053,0.094,0.041,4.39,4.86,0.47,1.52,1.92,0.4,12,0.039166667
Big,B6_3,B6,lightblue,No_snail,,0.095,0.142,0.047,4.48,5.09,0.61,2.09,2.89,0.8,12,0.050833333
Big,B6_4,B6,darkblue,No_snail,,0.068,0.096,0.028,3.43,3.64,0.21,1.4,1.81,0.41,12,0.0175
Big,B6_5,B6,brown,No_snail,,0.034,0.05,0.016,3.01,3.31,0.3,0.97,1.2,0.23,12,0.025
Big,B6_6,B6,yellow,No_snail,,0.097,0.13,0.033,2.98,3.4,0.42,1.89,2.47,0.58,12,0.035
Big,B6_7,B6,pink,No_snail,,0.075,0.104,0.029,2.95,3.57,0.62,1.65,2.26,0.61,12,0.051666667
Big,B6_8,B6,orange,No_snail,,0.175,0.204,0.029,3.54,3.94,0.4,3.62,4.06,0.44,12,0.033333333
Big,B6_9,B6,purple,No_snail,,0.195,0.261,0.066,3.92,4.35,0.43,4.31,5.24,0.93,12,0.035833333
